"LoanId","NoteId","OrderId","OutstandingPrincipal","AccruedInterest","Status","AskPrice","Markup/Discount","YTM","DaysSinceLastPayment","CreditScoreTrend","FICO End Range","Date/Time Listed","NeverLate","Loan Class","Loan Maturity","Original Note Amount","Interest Rate","Remaining Payments","Principal + Interest","Application Type"
"57124224","92788792","80662754","0.01","0.0","Late (16-30 days)","0.01","0.00","0.01",,"FLAT","710-714","11/30/2015","false","D1","36","25.0","15.61","1","0.01","INDIVIDUAL"
"52321658","85072506","85129890","0.01","0.0","Late (31-120 days)","0.01","0.00","0.01","134","FLAT","715-719","11/12/2015","false","B2","36","50.0","9.17","1","0.01","INDIVIDUAL"
"57940381","91910053","79716386","0.0","0.03","Current","97.29","324200.00","--","1","FLAT","685-689","12/01/2015","true","C1","36","100.0","12.29","1","0.03","INDIVIDUAL"
"1009939","7013851","1985191","0.11","0.01","In Grace Period","0.1","-16.67","0.01","9","DOWN","590-594","11/30/2015","false","C5","60","25.0","15.96","0","0.12","INDIVIDUAL"
"1864876","15431124","76771004","0.84","0.01","Late (16-30 days)","0.83","-2.35","27.61","44","UP","695-699","12/01/2015","false","B3","36","25.0","12.12","2","0.85","INDIVIDUAL"
"18905276","49688404","27031259","0.79","0.06","Current","20.24","2281.18","-1179.64","1","DOWN","685-689","12/01/2015","false","C3","60","25.0","13.98","2","0.85","INDIVIDUAL"
"2228886","16001787","4147679","0.87","0.01","Current","0.87","-1.14","0.01","8","DOWN","645-649","11/26/2015","false","C2","36","25.0","15.31","2","0.88","INDIVIDUAL"
"2311518","16544784","4259635","0.9","0.0","Current","0.89","-1.11","0.01","5","DOWN","560-564","12/01/2015","false","B1","36","25.0","10.16","1","0.9","INDIVIDUAL"
"1686738","14938375","91787797","0.9","0.02","Late (16-30 days)","0.89","-3.26","0.01","54","UP","685-689","12/01/2015","false","C4","36","25.0","16.29","1","0.92","INDIVIDUAL"

